Ano,Mês,Nome do Mês,Número do Dia,Data
2020,1,Janeiro,1,01/01/2020
2020,1,Janeiro,2,02/01/2020
2020,1,Janeiro,3,03/01/2020
2020,1,Janeiro,4,04/01/2020
2020,1,Janeiro,5,05/01/2020
2020,1,Janeiro,6,06/01/2020
2020,1,Janeiro,7,07/01/2020
2020,1,Janeiro,8,08/01/2020
2020,1,Janeiro,9,09/01/2020
2020,1,Janeiro,10,10/01/2020
2020,1,Janeiro,11,11/01/2020
2020,1,Janeiro,12,12/01/2020
2020,1,Janeiro,13,13/01/2020
2020,1,Janeiro,14,14/01/2020
2020,1,Janeiro,15,15/01/2020
2020,1,Janeiro,16,16/01/2020
2020,1,Janeiro,17,17/01/2020
2020,1,Janeiro,18,18/01/2020
2020,1,Janeiro,19,19/01/2020
2020,1,Janeiro,20,20/01/2020
2020,1,Janeiro,21,21/01/2020
2020,1,Janeiro,22,22/01/2020
2020,1,Janeiro,23,23/01/2020
2020,1,Janeiro,24,24/01/2020
2020,1,Janeiro,25,25/01/2020
2020,1,Janeiro,26,26/01/2020
2020,1,Janeiro,27,27/01/2020
2020,1,Janeiro,28,28/01/2020
2020,1,Janeiro,29,29/01/2020
2020,1,Janeiro,30,30/01/2020
2020,1,Janeiro,31,31/01/2020
2020,2,Fevereiro,1,01/02/2020
2020,2,Fevereiro,2,02/02/2020
2020,2,Fevereiro,3,03/02/2020
2020,2,Fevereiro,4,04/02/2020
2020,2,Fevereiro,5,05/02/2020
2020,2,Fevereiro,6,06/02/2020
2020,2,Fevereiro,7,07/02/2020
2020,2,Fevereiro,8,08/02/2020
2020,2,Fevereiro,9,09/02/2020
2020,2,Fevereiro,10,10/02/2020
2020,2,Fevereiro,11,11/02/2020
2020,2,Fevereiro,12,12/02/2020
2020,2,Fevereiro,13,13/02/2020
2020,2,Fevereiro,14,14/02/2020
2020,2,Fevereiro,15,15/02/2020
2020,2,Fevereiro,16,16/02/2020
2020,2,Fevereiro,17,17/02/2020
2020,2,Fevereiro,18,18/02/2020
2020,2,Fevereiro,19,19/02/2020
2020,2,Fevereiro,20,20/02/2020
2020,2,Fevereiro,21,21/02/2020
2020,2,Fevereiro,22,22/02/2020
2020,2,Fevereiro,23,23/02/2020
2020,2,Fevereiro,24,24/02/2020
2020,2,Fevereiro,25,25/02/2020
2020,2,Fevereiro,26,26/02/2020
2020,2,Fevereiro,27,27/02/2020
2020,2,Fevereiro,28,28/02/2020
2020,2,Fevereiro,29,29/02/2020
2020,3,Março,1,01/03/2020
2020,3,Março,2,02/03/2020
2020,3,Março,3,03/03/2020
2020,3,Março,4,04/03/2020
2020,3,Março,5,05/03/2020
2020,3,Março,6,06/03/2020
2020,3,Março,7,07/03/2020
2020,3,Março,8,08/03/2020
2020,3,Março,9,09/03/2020
2020,3,Março,10,10/03/2020
2020,3,Março,11,11/03/2020
2020,3,Março,12,12/03/2020
2020,3,Março,13,13/03/2020
2020,3,Março,14,14/03/2020
2020,3,Março,15,15/03/2020
2020,3,Março,16,16/03/2020
2020,3,Março,17,17/03/2020
2020,3,Março,18,18/03/2020
2020,3,Março,19,19/03/2020
