Data_Cadastro,ID_Cliente,Idade,Genero,CEP
2020-02-22,1873,63,Feminino,69980-000
2020-05-24,5450,15,Feminino,69980-000
2022-04-20,10578,15,Feminino,69980-000
2024-03-10,19253,20,Feminino,69980-000
2022-01-31,26295,57,Feminino,69980-000
2024-06-26,51723,55,Feminino,69980-000
2022-08-13,69662,69,Feminino,69980-000
2024-06-22,77345,41,Feminino,69980-000
2021-03-17,78190,32,Feminino,69980-000
2020-10-16,80307,66,Feminino,69980-000
2021-04-30,93903,27,Feminino,69980-000
2022-04-25,94153,60,Feminino,69980-000
2024-02-15,95676,15,Feminino,69980-000
2024-01-26,34964,32,Feminino,69970-000
2024-04-12,59436,67,Feminino,69970-000
2020-06-22,71974,15,Feminino,69970-000
2024-03-01,76115,35,Feminino,69970-000
2023-01-07,4480,34,Feminino,69940-000
2024-05-04,61262,13,Feminino,69940-000
2023-01-13,68896,42,Feminino,69940-000
2023-03-02,91802,12,Feminino,69940-000
2023-07-01,96703,49,Feminino,69940-000
2021-05-11,23363,35,Feminino,493-0001
2023-11-26,24742,46,Feminino,493-0001
2022-01-03,59492,57,Feminino,452-0961
2024-02-11,69561,63,Feminino,478-0046
2020-05-27,89528,22,Feminino,481-0004
2023-11-21,48283,33,Feminino,460-0011
2022-03-13,3846,38,Feminino,480-0202
2023-04-04,74615,51,Feminino,480-0202
2022-12-20,10712,32,Feminino,480-0102
2020-04-13,94752,68,Feminino,480-0102
2023-06-09,29448,67,Feminino,470-2102
2021-08-19,55675,47,Feminino,470-2102
2023-01-27,74929,70,Feminino,470-2102
2022-03-17,88594,19,Feminino,470-2102
2023-06-20,55503,19,Feminino,474-0011
2022-10-16,91819,39,Feminino,446-0053
2020-08-08,72792,23,Feminino,470-0162
2021-03-12,94100,54,Feminino,463-0001
2021-04-18,78711,27,Feminino,480-1103
2023-11-23,10277,16,Feminino,470-0111
2021-08-24,12415,16,Feminino,446-0001
2022-06-11,16195,32,Feminino,446-0001
2023-10-10,96469,19,Feminino,441-8074
2021-05-12,14808,61,Feminino,018-5201
2020-05-25,7509,12,Feminino,36608
2021-07-17,15695,58,Feminino,36608
2021-04-30,38079,29,Feminino,36608
2020-12-30,94183,19,Feminino,36608
2021-06-29,27388,34,Feminino,36609
2023-04-21,38822,52,Feminino,36605
2022-09-07,51050,35,Feminino,36605
2021-11-09,49188,35,Feminino,36532
2020-06-07,50230,61,Feminino,36532
2023-02-14,69872,63,Feminino,36526
2022-11-14,75460,43,Feminino,36526
2020-07-05,69659,12,Feminino,36535
2023-05-13,49967,19,Feminino,35630
2021-07-04,73186,39,Feminino,35630
2021-12-30,10797,25,Feminino,35401
2021-08-13,25727,27,Feminino,35401
2024-01-09,43137,55,Feminino,35405
2022-08-10,66480,25,Feminino,35405
2024-05-06,82608,47,Feminino,35405
2020-04-19,58160,56,Feminino,35404
2023-12-27,35843,61,Feminino,35611
2022-05-17,52142,36,Feminino,35611
2021-12-03,67005,40,Feminino,35601
2020-04-11,7545,49,Feminino,35020
2021-03-15,78678,25,Feminino,35640
2020-11-09,86294,33,Feminino,35640
2020-03-17,4106,32,Feminino,35211
2021-11-22,11889,55,Feminino,35211
2021-12-14,22965,23,Feminino,35211
2020-06-27,33688,24,Feminino,35226
2023-03-06,14657,31,Feminino,35244
2022-06-29,34635,64,Feminino,35244
2022-07-29,19226,48,Feminino,35209
2021-04-07,28864,58,Feminino,35209
2020-04-09,45807,45,Feminino,35209
2023-01-24,50591,56,Feminino,35209
2021-08-30,63534,57,Feminino,35209
2024-02-19,6602,53,Feminino,35216
2020-12-05,21237,20,Feminino,35216
2023-05-08,80348,21,Feminino,35216
2022-09-01,86102,50,Feminino,35216
2022-12-10,77581,49,Feminino,35124
2022-03-22,72098,51,Feminino,35749
2022-10-07,6741,53,Feminino,35215
2020-04-24,94245,37,Feminino,35242
2021-11-11,98163,19,Feminino,35242
2023-10-22,5810,22,Feminino,36067
2021-07-21,79474,20,Feminino,36067
2021-07-22,87897,47,Feminino,35173
2022-02-26,85029,25,Feminino,35801
2020-06-27,92848,12,Feminino,35801
2023-07-29,9804,44,Feminino,35811
2020-05-30,16683,17,Feminino,35811
2021-08-09,57021,26,Feminino,36109
2023-11-30,41116,53,Feminino,36116
2023-11-24,62846,67,Feminino,36116
2022-05-09,17177,14,Feminino,36117
2020-02-21,80599,28,Feminino,36117
2022-04-03,57480,18,Feminino,35160
2022-02-07,57887,58,Feminino,35160
2021-01-14,83629,24,Feminino,35160
2020-09-17,32540,50,Feminino,36330
2024-01-02,90521,12,Feminino,36330
2021-04-09,3920,45,Feminino,36830
2022-06-11,82031,64,Feminino,36830
2020-09-07,87754,52,Feminino,36830
2022-09-26,93497,29,Feminino,36301
2020-07-25,48226,16,Feminino,36801
2020-10-05,6361,52,Feminino,36303
2022-10-23,23697,21,Feminino,36303
2021-07-29,49936,41,Feminino,36303
2022-08-13,51326,26,Feminino,36303
2022-01-07,39316,55,Feminino,57480-000
2021-12-12,55760,68,Feminino,57480-000
2021-02-23,72095,57,Feminino,57480-000
2022-12-08,92752,59,Feminino,57480-000
2023-05-19,62781,21,Feminino,57445-000
2021-01-04,3943,23,Feminino,57500-000
2023-11-09,13343,28,Feminino,57500-000
2023-03-25,49712,35,Feminino,57500-000
2023-09-12,51410,29,Feminino,57500-000
2020-04-08,72354,43,Feminino,57500-000
2021-12-20,93445,38,Feminino,57500-000
2020-11-10,95418,58,Feminino,57500-000
2024-05-14,9741,41,Feminino,57360-000
2020-11-12,44193,56,Feminino,57360-000
2023-07-02,76353,44,Feminino,57360-000
2020-01-27,79796,69,Feminino,57360-000
2023-07-02,2336,56,Feminino,57200-000
2022-06-11,17795,67,Feminino,57200-000
2022-09-16,37911,37,Feminino,57200-000
2022-02-15,87688,58,Feminino,57200-000
2024-03-14,10672,48,Feminino,57265-000
2023-09-10,5113,45,Feminino,57250-000
2021-02-11,17525,20,Feminino,57250-000
2022-04-18,33714,50,Feminino,57250-000
2020-12-20,52784,37,Feminino,57250-000
2022-08-05,56961,42,Feminino,57250-000
2021-09-24,72820,69,Feminino,57250-000
2023-02-26,7368,40,Feminino,57230-000
2023-04-16,18953,45,Feminino,57230-000
2022-03-26,63081,24,Feminino,57230-000
2024-05-22,79881,27,Feminino,57230-000
2020-01-22,95280,46,Feminino,57230-000
2022-02-08,95301,62,Feminino,57230-000
2021-07-20,14824,64,Feminino,57240-000
2020-04-16,39429,49,Feminino,57240-000
2020-04-03,66809,57,Feminino,57240-000
2020-10-14,82145,33,Feminino,57240-000
2021-06-29,15874,26,Feminino,57690-000
2024-01-19,27001,20,Feminino,57690-000
2024-01-12,30456,33,Feminino,57690-000
2020-08-13,50697,56,Feminino,57690-000
2024-01-19,56896,19,Feminino,57690-000
2021-01-22,72844,45,Feminino,57690-000
2022-11-07,90237,46,Feminino,57690-000
2021-11-26,95628,30,Feminino,57690-000
