Ano,Mes,ID_Pedido,ID_Cliente,Status_Pedido,Data_Pedido,Data_Envio,Valor_Pedido,Quantidade_Itens,Estado,Cidade,Pais,postal_code
2024,6,20911,16653,Processando,2024-06-28,1900-01-01,100.99,1,São Paulo,Franca,Brasil,14404
2024,6,30681,24524,Processando,2024-06-28,1900-01-01,35.45,2,Rio de Janeiro,São João de Meriti,Brasil,25555
2024,6,40508,32352,Processando,2024-06-28,1900-01-01,296.99,2,Minas Gerais,Três Corações,Brasil,37410-000
2024,6,62309,49822,Processando,2024-06-28,1900-01-01,64.0,1,Bahia,Salvador,Brasil,40301-110
2024,6,71660,57204,Processando,2024-06-28,1900-01-01,34.99,1,São Paulo,São Paulo,Brasil,02675-031
2024,6,71661,57204,Processando,2024-06-28,1900-01-01,25.0,1,São Paulo,São Paulo,Brasil,02675-031
2024,6,91135,72799,Processando,2024-06-28,1900-01-01,51.0,1,Rio Grande do Sul,Parque Eldorado,Brasil,92990-000
2024,6,704,549,Enviado,2024-06-28,2024-06-29,32.95,1,Pará,Ananindeua,Brasil,67000-000
2024,6,705,549,Enviado,2024-06-28,2024-07-01,77.98,2,Pará,Ananindeua,Brasil,67000-000
2024,6,706,549,Enviado,2024-06-28,2024-06-30,81.94,3,Pará,Ananindeua,Brasil,67000-000
2024,6,1120,857,Enviado,2024-06-28,2024-07-01,12.99,1,Pernambuco,Recife,Brasil,50050-290
2024,6,25833,20609,Enviado,2024-06-28,2024-06-29,90.0,1,Ceará,Iguatu,Brasil,63500-000
2024,6,25834,20609,Enviado,2024-06-28,2024-06-30,432.22,4,Ceará,Iguatu,Brasil,63500-000
2024,6,31570,25229,Enviado,2024-06-28,2024-06-29,52.99,1,Paraná,Curitiba,Brasil,82590-300
2024,6,31571,25229,Enviado,2024-06-28,2024-06-30,136.0,1,Paraná,Curitiba,Brasil,82590-300
2024,6,62307,49822,Enviado,2024-06-28,2024-06-30,25.9,1,Bahia,Salvador,Brasil,40301-110
2024,6,69590,55575,Enviado,2024-06-28,2024-06-30,20.0,1,Minas Gerais,Uberlândia,Brasil,38405
2024,6,81282,65007,Enviado,2024-06-28,2024-06-30,95.98,4,Maranhão,Outeiro,Brasil,65360-000
2024,6,81775,65408,Enviado,2024-06-28,2024-06-28,9.16,1,Rio de Janeiro,Rio Bonito,Brasil,28800-000
2024,6,81776,65408,Enviado,2024-06-28,2024-06-30,134.0,2,Rio de Janeiro,Rio Bonito,Brasil,28800-000
2024,6,87056,69571,Enviado,2024-06-28,2024-06-29,52.95,1,Minas Gerais,Januária,Brasil,39480-000
2024,6,91133,72799,Enviado,2024-06-28,2024-06-30,15.99,1,Rio Grande do Sul,Parque Eldorado,Brasil,92990-000
2024,6,112732,90115,Enviado,2024-06-28,2024-06-30,29.99,1,Maranhão,São Luís,Brasil,65063
2024,6,9886,7927,Processando,2024-06-28,1900-01-01,59.99,2,Sergipe,Tobias Barreto,Brasil,49300-000
2024,6,9888,7927,Processando,2024-06-28,1900-01-01,178.0,1,Sergipe,Tobias Barreto,Brasil,49300-000
2024,6,24906,19849,Processando,2024-06-28,1900-01-01,24.0,1,Distrito Federal,Brasília,Brasil,70297-400
2024,6,43922,35133,Processando,2024-06-28,1900-01-01,39.95,1,São Paulo,Vargem Grande do Sul,Brasil,13880-000
2024,6,69908,55820,Processando,2024-06-28,1900-01-01,188.59,4,Piauí,Floriano,Brasil,64800-000
2024,6,81046,64794,Processando,2024-06-28,1900-01-01,70.0,1,Pernambuco,Garanhuns,Brasil,55290-000
2024,6,109640,87607,Processando,2024-06-28,1900-01-01,208.4,4,Minas Gerais,Três Pontas,Brasil,37190-000
2024,6,119460,95609,Processando,2024-06-28,1900-01-01,39.99,1,Pará,null,Brasil,68695-000
2024,6,10822,8650,Enviado,2024-06-28,2024-06-29,67.94,2,Acre,Sena Madureira,Brasil,69940-000
2024,6,10823,8650,Enviado,2024-06-28,2024-06-30,19.95,1,Acre,Sena Madureira,Brasil,69940-000
2024,6,16443,13123,Enviado,2024-06-28,2024-06-30,179.99,1,Rio Grande do Sul,Canguçu,Brasil,96600-000
2024,6,16518,13172,Enviado,2024-06-28,2024-07-01,31.99,1,Bahia,Salvador,Brasil,40301-155
2024,6,43328,34679,Enviado,2024-06-28,2024-06-30,18.98,1,Bahia,Salvador,Brasil,40301-110
2024,6,62046,49619,Enviado,2024-06-28,2024-06-28,135.0,1,Bahia,Camamu,Brasil,45445-000
2024,6,62584,50036,Enviado,2024-06-28,2024-06-29,59.25,1,Pará,Ponta de Pedras,Brasil,68830-000
2024,6,62585,50036,Enviado,2024-06-28,2024-06-28,63.14,2,Pará,Ponta de Pedras,Brasil,68830-000
2024,6,81067,64810,Enviado,2024-06-28,2024-06-28,23.92,1,São Paulo,São Paulo,Brasil,02675-031
2024,6,10878,8696,Processando,2024-06-27,1900-01-01,142.0,2,São Paulo,São Paulo,Brasil,02675-031
2024,6,10879,8696,Processando,2024-06-27,1900-01-01,14.95,1,São Paulo,São Paulo,Brasil,02675-031
2024,6,17719,14105,Processando,2024-06-27,1900-01-01,43.99,1,Bahia,Salvador,Brasil,40301-155
2024,6,19152,15250,Processando,2024-06-27,1900-01-01,15.9,1,Mato Grosso,Nova Mutum,Brasil,78450-000
2024,6,21499,17135,Processando,2024-06-27,1900-01-01,25.0,1,Pernambuco,null,Brasil,56380-000
2024,6,68270,54497,Processando,2024-06-27,1900-01-01,15.9,1,Amazonas,null,Brasil,69830-000
2024,6,72189,57629,Processando,2024-06-27,1900-01-01,9.99,1,Bahia,Guanambi,Brasil,46430-000
2024,6,80112,64049,Processando,2024-06-27,1900-01-01,291.95,3,Rondônia,Pimenta Bueno,Brasil,76970-000
2024,6,81865,65472,Processando,2024-06-27,1900-01-01,139.99,1,Bahia,Macaúbas,Brasil,46500-000
2024,6,119118,95341,Processando,2024-06-27,1900-01-01,184.0,3,Goiás,Itaberaí,Brasil,76630-000
2024,6,3613,2824,Enviado,2024-06-27,2024-06-30,95.0,2,Maranhão,Chapadinha,Brasil,65500-000
2024,6,9768,7835,Enviado,2024-06-27,2024-06-28,25.0,1,Distrito Federal,Brasília,Brasil,70200-001
2024,6,13940,11095,Enviado,2024-06-27,2024-06-29,59.95,1,Ceará,Guaraciaba do Norte,Brasil,62380-000
2024,6,17720,14105,Enviado,2024-06-27,2024-06-30,20.99,1,Bahia,Salvador,Brasil,40301-155
2024,6,18400,14637,Enviado,2024-06-27,2024-06-29,30.17,1,Maranhão,São Luís,Brasil,65066-620
2024,6,18402,14637,Enviado,2024-06-27,2024-06-28,84.0,1,Maranhão,São Luís,Brasil,65066-620
